Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:00:46.009337 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9805983297697376  Time : 0:00:46.566334 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:00:48.804369 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:50.909280 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:00:52.998177 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:55.251226 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.979733802140504  Time : 0:00:57.300091 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:59.735304 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:01:28.101093 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:01:30.100911 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979733802140504  Time : 0:01:32.526114 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.979777092183794  Time : 0:01:35.308644 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9803185974621413  Time : 0:01:39.127115 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7289099523217111  Time : 0:00:05.760235 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7407031564924396  Time : 0:00:06.962328 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 10}
Error for realdata\colleges_usnews.csv : 0.7444518011537382  Time : 0:00:08.317562 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7341280405108149  Time : 0:00:09.845948 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 10}
Error for realdata\colleges_usnews.csv : 0.742825758296901  Time : 0:00:11.446405 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7155037914395316  Time : 0:00:13.251046 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\colleges_usnews.csv : 0.7315675921076371  Time : 0:00:42.966059 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7381505543905905  Time : 0:00:44.875795 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 10}
Error for realdata\colleges_usnews.csv : 0.7304662488877629  Time : 0:00:46.772521 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7343892484687855  Time : 0:00:49.435938 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 10}
Error for realdata\colleges_usnews.csv : 0.7250939559795605  Time : 0:00:52.085350 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7395547225540531  Time : 0:00:53.754866 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\echoMonths.csv : 0.3797570826905431  Time : 0:00:26.007642 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.40399110845046626  Time : 0:00:28.029481 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 10}
Error for realdata\echoMonths.csv : 0.36607822677791413  Time : 0:00:29.885168 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.37178427746588427  Time : 0:00:31.986078 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 10}
Error for realdata\echoMonths.csv : 0.387426215064003  Time : 0:00:35.062874 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7473176415538253  Time : 0:00:05.728502 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7316452888926264  Time : 0:00:06.871246 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\colleges_usnews.csv : 0.7285466549891421  Time : 0:01:07.215105 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_usnews.csv : 0.7414789535534875  Time : 0:01:08.504276 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\echoMonths.csv : 0.4061799503355358  Time : 0:00:10.837853 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.3956783996107971  Time : 0:00:12.592449 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\echoMonths.csv : 0.3929562912919266  Time : 0:01:02.363114 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.409544256538824  Time : 0:01:03.752959 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\fishcatch.csv : 0.948135779057484  Time : 0:00:17.665057 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\fishcatch.csv : 0.9482222114968983  Time : 0:00:19.621838 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\fishcatch.csv : 0.9490523143101441  Time : 0:01:08.061875 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\fishcatch.csv : 0.9484788542737788  Time : 0:01:10.335286 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\heart-h.csv : 0.769444385507853  Time : 0:00:25.638309 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\heart-h.csv : 0.7755539426174101  Time : 0:00:27.495999 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\heart-h.csv : 0.7822035152669827  Time : 0:01:17.015014 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\heart-h.csv : 0.7547444100447196  Time : 0:01:19.343132 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\hungarian.csv : 0.7787453301772187  Time : 0:00:33.979892 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\hungarian.csv : 0.7673949028267913  Time : 0:00:36.376070 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\hungarian.csv : 0.766977653409542  Time : 0:01:27.616653 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\hungarian.csv : 0.7726237463946442  Time : 0:01:29.867700 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\kdd_el_nino-small.csv : 0.945525807210976  Time : 0:00:43.548590 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\kdd_el_nino-small.csv : 0.940691238541856  Time : 0:00:45.645496 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\kdd_el_nino-small.csv : 0.9415999717121627  Time : 0:01:34.895269 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\kdd_el_nino-small.csv : 0.9432948869664  Time : 0:01:36.267517 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\meta.csv : -9.182984232298825  Time : 0:00:05.233375 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\meta.csv : -9.183695589675184  Time : 0:00:06.357778 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\meta.csv : -9.187179042875034  Time : 0:00:59.810371 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\meta.csv : -9.18388937659265  Time : 0:01:00.929389 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\Moneyball.csv : 0.9254894577288608  Time : 0:00:10.604640 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\Moneyball.csv : 0.9248731580127746  Time : 0:00:12.264149 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\Moneyball.csv : 0.9249337236472334  Time : 0:01:02.815104 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\Moneyball.csv : 0.9249607898960246  Time : 0:01:04.632758 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\NewFuelCar.csv : 0.9986473802140164  Time : 0:00:19.173429 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\NewFuelCar.csv : 0.9986505061042728  Time : 0:00:21.653694 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\NewFuelCar.csv : 0.9986549873011924  Time : 0:01:40.953776 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\NewFuelCar.csv : 0.9986538652586845  Time : 0:01:43.182802 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\pbcseq2.csv : 0.812145273330281  Time : 0:00:05.341181 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\pbcseq2.csv : 0.8193537371659119  Time : 0:00:06.441856 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\pbcseq2.csv : 0.81721357519762  Time : 0:01:00.462967 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\pbcseq2.csv : 0.8228137661954221  Time : 0:01:01.449866 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\schizo.csv : 0.6329646084909244  Time : 0:00:10.573610 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\schizo.csv : 0.6953608201653868  Time : 0:00:12.457326 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\schizo.csv : 0.6929536491630145  Time : 0:01:02.533358 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\schizo.csv : 0.7001402430988344  Time : 0:01:03.888081 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\water-treatment.csv : 0.5909780743835121  Time : 0:00:18.500819 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\water-treatment.csv : 0.5671542074873562  Time : 0:00:20.252413 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\water-treatment.csv : 0.568984506560682  Time : 0:01:23.963327 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\water-treatment.csv : 0.5938635682620329  Time : 0:01:28.460419 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\lymphoma_2classes.csv : 0.8400000000000001  Time : 0:16:19.030962 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\lymphoma_2classes.csv : 0.8400000000000001  Time : 0:17:22.965718 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 10}
Error for realdata\lymphoma_2classes.csv : 0.8400000000000001  Time : 0:16:14.309231 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\lymphoma_2classes.csv : 0.9349999999999999  Time : 0:16:11.501242 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\lymphoma_2classes.csv : 0.9133333333333333  Time : 0:17:27.631734 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
Error for realdata\NewFuelCar.csv : 0.9986474904295474  Time : 0:00:06.930417 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\NewFuelCar.csv : 0.9986487735336785  Time : 0:00:07.938055 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 10}
Error for realdata\NewFuelCar.csv : 0.9986533882043815  Time : 0:00:09.390944 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\NewFuelCar.csv : 0.9986466122790059  Time : 0:00:10.682176 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 10}
