Error for realdata\kdd_el_nino-small.csv : 0.905030941211945  Time : 0:00:42.767082 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\kdd_el_nino-small.csv : 0.9127843522884612  Time : 0:00:43.996299 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\kdd_el_nino-small.csv : 0.9041887362973249  Time : 0:00:43.281701 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\kdd_el_nino-small.csv : 0.9279107682946558  Time : 0:01:23.235135 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\kdd_el_nino-small.csv : 0.9125940704491438  Time : 0:01:21.106605 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\kdd_el_nino-small.csv : 0.8951573964077946  Time : 0:01:19.757761 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\kdd_el_nino-small.csv : 0.9215978078020216  Time : 0:01:26.362437 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\kdd_el_nino-small.csv : 0.9224917993683717  Time : 0:01:19.711628 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\kdd_el_nino-small.csv : 0.8992143788297545  Time : 0:01:25.571120 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\meta.csv : -2.295025321103719  Time : 0:00:41.898489 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\meta.csv : -1.011451483664295  Time : 0:00:39.671968 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\meta.csv : -8.861375536914974  Time : 0:00:43.322697 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\meta.csv : -3.0537875295215047  Time : 0:00:42.335840 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\meta.csv : -0.7741868381392341  Time : 0:00:44.075265 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
